Title,Content,Stars
Great service.,I was really very impressed with the person I spoke to about renewing our house insurance with increased buildings cost cover and protection for our outbuildings. I think she was called Mia? She was really helpful and gave me some excellent advice. She is a credit to your company.  I am generally very pleased with the service provided by Homeprotect.,5
Easy site to use. Clear and good value,"Easy site to use, great price, clear",5
Very pleased with easy service and price,Very pleased with easy service and price,5
Very simple and straightforward.,Very simple and straightforward.,5
Easy to choose items for policy,Easy to choose items for policy,5
Home damaged by car fire. From the day the fire occurred and the…,From the day the fire occurred and the claim was made the Home Protect team and the appointed loss adjuster dealt with everything without any delay and I was completely happy with the final result.,5
Excellent Service,"I’ve been with HomeProtect for several years now and have always found the service to be reliable and straightforward. The renewal process is clear, the documentation is easy to navigate, and any queries I've had in the past have been dealt with efficiently. It’s reassuring to know that my home and belongings are protected by a provider that maintains consistent service standards. Overall, a very good experience and I’m happy to continue as a customer.",5
cometative price,"A very cometative price, for a comprehensive product",5
Nice and easy to follow and skip…,Nice and easy to follow and skip between answers,5
Very clear platform,Very clear platform,5
Good price for insurance.,Good price for insurance.,5
A very good insurance company to insure by.,I had no problems dealing with this insurance company. They offered me cover appropriate to that required at a very competitive rate. The people I interacted with were very good at their roles in the company.,5
Great service all round,"Easy to contact, helpful and friendly customer service, cover tailored to my needs and competitive price - in all, hassle free.",5
very easy to use,very easy to use,5
Easy and competive price,Easy and competive price,5
Excellent telephone support,Excellent support when I had to phone to complete my home insurance policy. Very helpful and clear.,5
Easy to Complete online,Easy to Complete online,5
I wanted to cancel my policy,"I wanted to cancel my policy. The website does not provide a phone number. I ended up on live chat in the absence of any other means of contact. Whilst the Homeprotect person tried to be helpful, the system of  using live chat is poor. It must take at least 2-3 times longer than a phone call, simply by having to type and wait for a response. Direct speaking is much faster. Direct speaking also means it is possible to identify any misunderstandings at a much earlier stage in the process. I understand there is a charge to use the telephone. Surely not! I'm not sure I would use Homeprotect again if I can only make contact by livechat and have to pay extra for phone calls. Ability to make quick and easy contact is an important consideration in selecting an insurance policy. I want to be clear I have no criticism of the Homeprotect person, but of the requirement to use live chat.",2
easy to use and very cheap,easy to use and very cheap. able to understand the processes of what to do,4
Clarity and knowing that I will be able…,Clarity and knowing that I will be able to speak with someone over the phone,5
Value for money.,Value for money.,4
Pretty easy but nowhere to say I am…,Pretty easy but nowhere to say I am Exor for the property,4
Easy and straight forward,Easy and straight forward,5
very easy website to use,very easy website to use,4
The only problem was that my wet dog…,"The only problem was that my wet dog ran all over the house and my useless teenage children ignored it while I tried to input the policy details.  Nothing wrong with the insurers, but there may be a gap in the market to insure teenagers with poor attitude",5
Even after cancelling the renewal the…,Even after cancelling the renewal the company charged my credit card and sent no notification that they have charged me.,1
After3 years it’s still the cheapest…,After 3 years it’s still the cheapest policy,5
I did the policy online,I did the policy online. I found the application easy to follow.,5
