Title,Content,Stars
I was already a customer but had abad experience when trying to renew,"I was already a customer but had cancelled the automatic renewal of the current policy. However, I had spoken to Customer Services to see what my renewal premium might be. It was higher than I could get through comparison websites for a policy with Homeprotect and Homeprotect  decided it was not going to compete with the quote I had received from a comparison website. I took the policy offered by the comparison website but Homeprotect appear not to recognise my being a previous customer and keep sending me offers to take out a new policy with them. A very disconcerting experience and very poor customer service.",3
Definitely worth a quote,"Been with home protect for around ten years, they are easy to arrange the right cover and have a competitive price.  There contact is friendly, offen straight forward and they leave you feeling, content and happy about the service.",5
House and contents insurance.,Easy to deal with and good price.,5
Good but spoke too fast,Although the operator was very thorough she did speak very quickly so sometimes it was difficult to hear and understand what she was saying,3
Easy to use and follow,Easy to use and follow,5
Covers the things I want at a…,Covers the things I want at a reasonable price,5
easy to populate form,easy to populate form,4
No need to shop around,I switched to Homeprotect three years ago because my previous insurer was increasing excess levels and hiking premiums despite my no-claim record. Homeprotect’s policy is clear and the premium reasonable. There’s no need to shop around when you think you are being treated fairly.,5
Simple and quick to set up at a…,Simple and quick to set up at a reasonable price,5
Invaluable Customer Service - Shen,"After a number of interactions with Homeprotect over the last two years that were incredibly frustrating I was preparing to find another provider (after 10yrs).   Shen's help, and in particular her willingness to enter into dialogue rather than adhering so vehemently to a script that the conversation became draining and frustrating for both parties was incredibly refreshing.  She has single handedly retained me as a customer",5
